URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/world/afghanistan-pakistan/,159630,210,text/html
http://www.latimes.com/la-bio-sonali-kohli-staff.html,98452,181,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-night-school-review-20180927-story.html,205954,153,text/html
http://www.latimes.com/projects/la-pol-ca-next-california/,27929,39,text/html
http://www.latimes.com/brandpublishing/entertainmentplus/,85280,52,text/html
http://www.latimes.com/la-bio-frank-shyong-staff.html,96756,181,text/html
http://www.latimes.com/sports/chargers/la-sp-chargers-sidebar-20180930-story.html,211886,153,text/html
http://www.latimes.com/la-bio-hailey-bransonpotts-staff.html,100136,183,text/html
http://www.latimes.com/lanews-ben-bolch-20130507-staff.html,97942,181,text/html
http://www.latimes.com/la-bio-chris-megerian-staff.html,98196,183,text/html
http://www.latimes.com/sports/clippers/la-sp-clippers-sydney-kings-20180930-story.html,203334,150,text/html
http://www.latimes.com/science/sciencenow/la-sci-sn-ford-sexual-assault-science-20180927-story.html,198128,163,text/html
http://www.latimes.com/la-bio-tracy-wilkinson-staff.html,99312,183,text/html
http://www.latimes.com/style/laaffairs/,236659,206,text/html
http://www.latimes.com/about/la-privacypolicy-20180703-story.html,176717,157,text/html
http://www.latimes.com/style/pets/,162283,211,text/html
http://www.latimes.com/la-bio-jack-dolan-staff.html,97288,184,text/html
http://www.latimes.com/la-bio-dave-lewis-staff.html,98306,182,text/html
http://www.latimes.com/sports/lakers/,243117,209,text/html
http://www.latimes.com/la-bio-matt-pearce-staff.html,98479,186,text/html
http://www.latimes.com/la-bio-ronald-white-staff.html,97247,181,text/html
http://www.latimes.com/local/lanow/la-me-ln-la-verne-plane-crash-20180930-story.html,107664,151,text/html
http://www.latimes.com/nation/la-na-pol-trump-un-assess-20180928-story.html,124504,152,text/html
http://www.latimes.com/fashion/,313136,258,text/html
http://www.latimes.com/visuals/graphics/,158317,214,text/html
http://www.latimes.com/la-bio-richard-marosi-staff.html,100489,187,text/html
http://www.latimes.com/la-bio-denise-florez-20150630-staff.html,95318,183,text/html
http://www.latimes.com/la-bio-esmeralda-bermudez-staff.html,99873,182,text/html
http://www.latimes.com/la-bio-seema-mehta-staff.html,101432,184,text/html
http://www.latimes.com/pb/resources/images/lat_icons/114-iTunesArtwork.png?v=87,2951,0,image/png
http://www.latimes.com/politics/elections/,158716,240,text/html
http://www.latimes.com/business/lanews-david-lazarus-20130507-staff.html,98268,182,text/html
http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-may-2018-gov-jerry-brown-after-the-longest-1538365352-htmlstory.html,186923,183,text/html
http://www.latimes.com/shopping/,76940,49,text/html
http://www.latimes.com/local/lanow/la-me-ln-deportation-game-20180929-story.html,118118,153,text/html
http://www.latimes.com/la-bio-jeff-miller-staff.html,97992,181,text/html
http://www.latimes.com/sports/dodgers/la-sp-dodgers-giants-20180930-story.html,216215,153,text/html
http://www.latimes.com/local/education/la-me-uc-regents-20180926-story.html,124258,152,text/html
http://www.latimes.com/la-bio-nardine-saad-staff.html,100444,181,text/html
http://www.latimes.com/local/lanow/la-me-ln-weather-story-rain-20180930-story.html,112874,151,text/html
http://www.latimes.com/la-bio-ron-lin-staff.html,99407,182,text/html
http://www.latimes.com/entertainment/movies/la-et-st-trump-reacts-kanye-snl-appearance-20180930-story.html,197545,152,text/html
http://www.latimes.com/la-bio-liam-dillon-staff.html,100727,181,text/html
http://www.latimes.com/sports/angels/la-sp-angels-athletics-20180930-story.html,205350,152,text/html
http://www.latimes.com/politics/la-pol-sac-skelton-kavanaugh-hearing-20181001-story.html,211999,154,text/html
